"ZAMORA","MORALEJA DEL VINO","MORALEJA DEL VINO","49150","CALLE POZO, 82","I","-5.660083","41.466083","20/11/2021 00:00","1.499","","","","","1.389","1.439","0.99","","","","","","","REPSOL","No Low cost","P","OM","L-S: 08:00-22:30","L-S: 08:00-22:30 (A)"
"GRANADA","ZUBIA (LA)","ZUBIA (LA)","18140","POLIGONO EL LAUREL, 1,2,3,27","N","-3.580389","37.122917","22/11/2021 04:00","1.559","","","1.701","","1.399","1.489","","","","","","","","BP","No Low cost","P","dm","L-D: 06:30-23:30","L-D: 06:30-23:30 (A)"
"SALAMANCA","ESPEJA","ESPEJA","37497","CARRETERA N-620 KM. 341","I","-6.707528","40.590889","22/11/2021 15:00","1.519","","","1.651","","1.409","1.529","","","","","","","","CEPSA","No Low cost","P","OM","L-D: 06:00-22:00","L-D: 06:00-22:00 (A)"
"LLEIDA","ALBATÀRREC","ALBATARREC","25171","CARRETERA COMARCAL 230A KM. 6,100","I","0.610333","41.576111","17/11/2021 08:27","1.549","","","1.659","","1.399","1.449","1.024","","","","","","","PETRONOR","No Low cost","P","dm","L-V: 07:00-15:00","L-V: 07:00-15:00 (A)"
"MADRID","VALDEMORO","VALDEMORO","28340","CALLE NARCISO MONTURIOL, 32","D","-3.664611","40.16325","15/11/2021 23:55","1.58","","","","","1.459","1.549","","","","","","","","BP POLIGONO ROMPECUBAS","No Low cost","P","dm","L-D: 24H","L-D: 24H (A)"
"ZARAGOZA","CADRETE","CADRETE","50420","AVENIDA ZARAGOZA, 35","N","-0.967","41.561667","15/11/2021 13:09","1.469","","","1.599","","1.339","","0.929","","","","","","","MG","Low Cost","P","dm","L-D: 24H","L-D: 24H (A)"
"BARCELONA","GRANOLLERS","GRANOLLERS","08400","CALLE TURO D'EN BRUGUET, 2","N","2.296306","41.600278","19/11/2021 16:00","1.352","","","","","1.237","","","","","","","","","PETROPRIX","Low Cost","P","dm","L-D: 24H","L-D: 24H (A)"
"HUESCA","SENA","SENA","22230","CARRETERA A-131 KM. 40,800","I","-0.049111","41.7145","22/11/2021 11:45","1.52","","","","","1.39","1.45","0.93","","","","","","","CEPSA","No Low cost","P","dm","L-V: 07:30-19:30; S: 09:00-13:00 y 15:30-19:30","L-V: 07:30-19:30 (P); S: 09:00-13:00 (P), 15:30-19:30 (P)"
"ALBACETE","ALBACETE","ALBACETE","02080","AUTOVIA A-30 KM. 239,4","D","-1.93325","39.059806","22/11/2021 15:00","1.519","","","1.651","","1.409","1.475","","","","","","","","CEPSA","No Low cost","P","OM","L-D: 07:00-23:00","Sin datos"
"NAVARRA","PAMPLONA/IRUÑA","PAMPLONA/IRUÑA","31006","CALLE SADAR S/N, S/N","D","-1.645583","42.797694","20/11/2021 00:07","1.569","","","1.698","","1.439","1.529","","","","","0.819","","","REPSOL","No Low cost","P","dm","L-S: 06:30-22:30; D: 07:00-22:30","Sin datos"
"MADRID","COSLADA","COSLADA","28820","AVENIDA CONSTITUCION, 30","N","-3.573472","40.421333","22/11/2021 09:30","1.579","","","1.721","","1.459","1.549","","","","","","","","BP COSLADA - AV CONSTITUCION","No Low cost","P","OM","L-D: 24H","L-D: 24H (A)"
"GIRONA","SANT HILARI SACALM","SANT HILARI SACALM","17403","AVENIDA SANTA COLOMA DE FARNERS, 95","I","2.517083","41.871222","08/11/2021 17:10","1.409","","","1.539","","1.289","","","","","","","","","E.S.GUILLERIES,S.L.","Low Cost","P","dm","L-D: 24H","L-D: 24H (A)"
"ASTURIAS","SIERO","VIELLA","33429","POLIGONO NATALIO, 1","D","-5.781528","43.3905","22/11/2021 09:30","1.569","","","1.711","","1.429","1.519","","","","","","","","BP CENTRAL LECHERA","No Low cost","P","OM","L-D: 24H","L-D: 24H (P)"
"GRANADA","GRANADA","GRANADA","18008","CARRETERA SIERRA (DE LA) KM. 313","I","-3.557944","37.162694","19/11/2021 22:39","1.468","","","1.648","","1.319","1.389","","","","","","","","SAN LAZARO","Low Cost","P","dm","L-D: 24H","L-D: 00:00-07:00 (D), 07:00-23:00 (P), 23:00-23:59 (D)"
"BIZKAIA","PORTUGALETE","PORTUGALETE","48920","AVENIDA VEGA DE IBARRA, S/N","N","-3.024278","43.311639","22/11/2021 08:06","1.537","","","1.687","","1.377","1.427","","","","","","","","EROSKI","Low Cost","P","dm","L-S: 07:00-21:00; D: 09:00-21:00","L-S: 07:00-21:00 (A); D: 09:00-21:00 (A)"
"PONTEVEDRA","VILABOA","VILABOA","36141","AU A-9, 144","I","-8.662222","42.317667","20/11/2021 00:00","1.559","","","1.679","","1.439","1.529","","","","","0.879","","","REPSOL","No Low cost","P","OM","L-D: 24H","L-D: 00:00-07:00 (D), 07:00-23:00 (P), 23:00-23:59 (D)"
"LEÓN","URDIALES DEL PÁRAMO","MANSILLA DEL PARAMO","24248","CARRETERA C-621 MAYORGA-ASTORGA KM. 50,400","I","-5.784917","42.382806","15/11/2021 14:56","1.539","","","1.659","","1.439","1.499","0.999","","","","","","","CEPSA","No Low cost","P","dm","L-S: 07:00-22:00; D: 08:00-22:00","L-S: 07:00-22:00 (P); D: 08:00-22:00 (P)"
"BADAJOZ","ALMENDRALEJO","ALMENDRALEJO","06200","CALLE CONSTRUCCION, SN","N","-6.408139","38.695361","22/11/2021 15:30","","","","","","1.395","","","","","","","","","SETTRAN","Low Cost","P","dm","L-D: 24H","L-D: 24H (A)"
"BARCELONA","RUBÍ","RUBI","08191","CARRETERA C-1413 KM. 12,7","N","2.038111","41.505667","22/11/2021 11:27","1.429","","","","","1.319","","","","","","","","","JULIA-OIL (FINA)","Low Cost","P","dm","L-D: 05:00-23:00","L-D: 05:00-23:00 (A)"
"SANTA CRUZ DE TENERIFE","ARONA","ARONA","38627","CARRETERA GRAL TF-66(GUAZA-GALLE KM. 2","D","-16.67325","28.018417","20/11/2021 00:00","1.139","","","1.259","","1.079","","","","","","","","","REPSOL","No Low cost","P","OM","L-D: 06:00-22:00","L-D: 06:00-22:00 (A)"
"SEGOVIA","VILLACASTÍN","VILLACASTIN","40150","CR N-6, 88","D","-4.464","40.797778","22/11/2021 17:47","1.524","","","1.664","","1.424","1.494","","","","","","","","GALP","No Low cost","P","OM","L-D: 24H","L-D: 00:00-06:00 (D), 06:00-22:00 (A), 22:00-23:59 (D)"
"CÁDIZ","ARCOS DE LA FRONTERA","ARCOS DE LA FRONTERA","11630","CARRETERA CA-6104 KM. 0","D","-5.790389","36.73675","22/11/2021 14:48","1.509","","","1.629","","1.409","1.489","","","","","","","","ARGOMAR","Low Cost","P","dm","L-D: 07:00-23:00","L-D: 07:00-23:00 (P)"
"CASTELLÓN / CASTELLÓ","BURRIANA","BURRIANA","12530","CL AVENIDA JAIME CHICHARRO, 6","D","-0.080611","39.882778","20/11/2021 00:00","1.529","","","1.649","","1.379","1.429","","","","","","","","REPSOL","No Low cost","P","OM","L-D: 06:00-22:00","L-D: 06:00-22:00 (A)"
"MADRID","MADRID","MADRID","28031","CALLE REAL DE ARGANDA, 74","D","-3.604056","40.37575","20/11/2021 00:00","1.569","","","1.709","","1.459","1.539","","","","","0.859","","","REPSOL","No Low cost","P","OM","L-D: 24H","L-M: 00:00-08:00 (A), 08:00-12:00 (P), 12:00-23:59 (A); X-J: 24H (A); V: 00:00-08:00 (A), 08:00-12:00 (P), 12:00-23:59 (A); S: 24H (A); D: 00:00-08:00 (A), 08:00-12:00 (P), 12:00-23:59 (A)"
"MURCIA","MURCIA","BAÑOS Y MENDIGO","30153","SAN JAVIER km 1,2","D","-1.107194","37.867139","16/11/2021 10:37","1.445","","","1.599","","1.325","1.389","1.039","","","","","","","AIREMAR I","Low Cost","P","dm","L-D: 24H","L-D: 24H (A)"
"MADRID","MADRID","MADRID","28003","CALLE CEA BERMUDEZ, 32","D","-3.709639","40.439","20/11/2021 00:00","1.589","","","1.739","","1.449","1.529","","","","","","","","REPSOL","No Low cost","P","OM","L-D: 24H","L-D: 24H (A)"
"RIOJA (LA)","AUTOL","AUTOL","26560","CARRETERA RINCON SOTO,S/N","N","-1.980917","42.213972","22/11/2021 17:32","","","","","","1.319","","0.889","","","","","","","AN ENERGETICOS","Low Cost","P","dm","L-D: 24H","L-D: 24H (A)"
"CÓRDOBA","ALMODÓVAR DEL RÍO","ALMODOVAR DEL RIO","14720","CARRETERA CO-234 KM. 18,8","I","-4.954917","37.805417","15/11/2021 10:43","1.499","","","","","1.399","1.499","0.899","","","","","","","ENERQUIVIR{ SOTILLO BAJO{","Low Cost","P","dm","L-S: 06:00-22:00","L-S: 06:00-22:00 (A)"
"MURCIA","MURCIA","PALMAR O LUGAR D. JUAN","30120","CTRA. DE MAZARRON (MU-302 km 2)","N","-1.179","37.939","22/11/2021 13:53","1.459","","1.519","","","1.309","1.369","0.949","","","","","","","MEROIL, S.A.","Low Cost","P","dm","L-D: 06:00-23:00","L-D: 06:00-23:00 (A)"
"MADRID","MÓSTOLES","MOSTOLES","28938","CALLE E, 12","N","-3.873833","40.308444","22/11/2021 13:00","1.559","","","","","1.459","","","","","","","","","CEPSA","No Low cost","P","dm","L-D: 24H","L-V: 00:00-06:59 (D), 06:59-22:59 (A), 22:59-23:59 (D); S: 00:00-06:59 (D), 06:59-21:59 (A), 21:59-23:59 (D); D: 00:00-08:59 (D), 08:59-21:59 (A), 21:59-23:59 (D)"
"ALICANTE","TORREVIEJA","TORREVIEJA","03183","AVENIDA CORTES VALENCIANAS, 60","N","-0.674944","37.991361","22/11/2021 08:40","1.529","","","1.679","","1.399","1.479","","","","","","","","REPSOL","No Low cost","P","dm","L-D: 06:00-22:00","L-D: 06:00-22:00 (A)"
"SANTA CRUZ DE TENERIFE","GÜÍMAR","ESCOBONAL (EL)","38591","AVENIDA AXAENTEMIR, S/N","N","-16.426417","28.26425","16/11/2021 07:00","1.119","","","1.43","","1.074","","","","","","","","","EL ESCOBONAL","Low Cost","P","dm","L-S: 07:00-21:00; D: 08:00-14:00","L-S: 07:00-21:00 (A); D: 08:00-14:00 (A)"
"MADRID","MADRID","MADRID","28051","AUTOVIA A-3 KM. 14,3","D","-3.559","40.357389","20/11/2021 00:00","1.559","","","1.709","","1.449","1.539","","","","","0.859","","","REPSOL","No Low cost","P","OM","L-D: 07:00-23:00","L-D: 07:00-23:00 (A)"
"CUENCA","SANTA MARÍA DE LOS LLANOS","SANTA MARIA DE LOS LLANOS","16639","AUTOPISTA AP-36 (MRG.IZDO.) KM. 84","I","-2.824472","39.485972","18/11/2021 00:00","1.559","","","1.691","","1.479","1.545","","","","","","","","CEPSA","No Low cost","P","OM","L-D: 24H","L-D: 24H (D)"
"SEVILLA","SEVILLA","SEVILLA","41001","CARRERA DE LA ESCLUSA, 10 (PUERTO OESTE), ","D","-6.000694","37.363694","22/11/2021 06:00","1.579","","1.619","","","1.409","1.475","","","","","","","","CEPSA","No Low cost","P","OM","L-D: 24H","L-D: 24H (A)"
